alive ,alive_since     ,anonymity   ,average_timeout    ,first_seen      ,ip_data_as                                                                                                                      ,ip_data_asname                                    ,ip_data_city                 ,ip_data_continent ,ip_data_continentCode ,ip_data_country          ,ip_data_countryCode ,ip_data_district            ,ip_data_hosting ,ip_data_isp                                                           ,ip_data_lat ,ip_data_lon ,ip_data_mobile ,ip_data_org                                                     ,ip_data_proxy ,ip_data_regionName                    ,ip_data_status ,ip_data_timezone               ,ip_data_zip ,ip_data_last_update ,last_seen       ,port  ,protocol ,proxy                          ,ssl   ,timeout            ,times_alive ,times_dead ,uptime             ,ip
true  ,1731215241.5377 ,elite       ,  548.95662314633  ,1722099125.2841 ,"AS14061 DigitalOcean, LLC"                                                                                                     ,DIGITALOCEAN-ASN                                  ,"Santa Clara"                ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,"DigitalOcean, LLC"                                                   ,37.3931     ,-121.962    ,false          ,"DigitalOcean, LLC"                                             ,true          ,California                            ,success        ,America/Los_Angeles            ,95054       ,         1731171601 ,1731215241.5377 ,   80 ,http     ,http://144.126.216.57:80       ,false ,  346.79794311523  ,      56334 ,     86267 ,39.504631804826    ,144.126.216.57
true  ,1731215241.4828 ,elite       , 1042.9718588089   ,1697030355.0212 ,"AS46562 Performive LLC"                                                                                                        ,PERFORMIVE                                        ,Atlanta                      ,"North America"   ,NA                    ,"United States"          ,US                  ,Fairlie-Poplar              ,true            ,"Performive LLC"                                                      ,33.7549     ,-84.3897    ,false          ,"Total Server Solutions L.L.C."                                 ,true          ,Georgia                               ,success        ,America/New_York               ,30303       ,         1730733073 ,1731215241.4828 ,17002 ,socks4   ,socks4://192.111.130.5:17002   ,true  ,  750.86903572083  ,     115788 ,    157967 ,42.296213767785    ,192.111.130.5
true  ,1731215241.4195 ,elite       , 5488.7255363807   ,1713100474.0666 ,"AS16276 OVH SAS"                                                                                                               ,OVH                                               ,Independence                 ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,"OVH US LLC"                                                          ,37.224      ,-95.7304    ,false          ,"Hosting Now, Net Ltda"                                         ,true          ,Kansas                                ,success        ,America/Chicago                ,67301       ,         1730810490 ,1731215241.4195 ,22380 ,socks4   ,socks4://135.148.10.161:22380  ,true  ,  819.91267204285  ,       1060 ,    106729 , 0.98340275909416  ,135.148.10.161
true  ,1731215241.1582 ,elite       ,  477.2733560004   ,1727979640.9741 ,"AS54825 Packet Host, Inc."                                                                                                     ,PACKET                                            ,Dallas                       ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,"Packet Host, Inc."                                                   ,32.7797     ,-96.8022    ,false          ,                                                                ,true          ,Texas                                 ,success        ,America/Chicago                ,75270       ,         1731051862 ,1731215241.1582 ,10000 ,http     ,http://147.28.155.20:10000     ,false ,  322.05319404602  ,        639 ,     35356 , 1.7752465620225   ,147.28.155.20
true  ,1731215184.7699 ,elite       , 1384.6313669646   ,1730540747.6781 ,"AS4837 CHINA UNICOM China169 Backbone"                                                                                         ,CHINA169-Backbone                                 ,Hangzhou                     ,Asia              ,AS                    ,China                    ,CN                  ,                            ,false           ,"China Unicom Zhejiang Province Network"                              ,30.2994     ,120.1612    ,false          ,                                                                ,false         ,Zhejiang                              ,success        ,Asia/Shanghai                  ,            ,         1731145556 ,1731215240.662  , 8092 ,http     ,http://101.71.143.237:8092     ,false ,  816.37477874756  ,       4344 ,      6142 ,41.426664123593    ,101.71.143.237
true  ,1731215236.5223 ,elite       , 2409.2112891329   ,1730218266.5525 ,"AS45899 VNPT Corp"                                                                                                             ,VNPT-AS-VN                                        ,Hanoi                        ,Asia              ,AS                    ,Vietnam                  ,VN                  ,                            ,false           ,"VietNam Post and Telecom Corporation"                                ,21.0292     ,105.8526    ,false          ,"Vietnam Posts and Telecommunications Group"                    ,false         ,Hanoi                                 ,success        ,Asia/Bangkok                   ,            ,         1730823256 ,1731215240.5599 , 8080 ,http     ,http://113.160.132.33:8080     ,false ,  592.69690513611  ,       3959 ,     10189 ,27.982753746113    ,113.160.132.33
true  ,1731209827.7427 ,elite       ,  640.24502053522  ,1730425236.9745 ,"AS27446 ERC Broadband"                                                                                                         ,AS-ERCBB                                          ,Asheville                    ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,false           ,"ERC Broadband"                                                       ,35.5397     ,-82.5151    ,false          ,"ERC Broadband"                                                 ,false         ,"North Carolina"                      ,success        ,America/New_York               ,28803       ,         1731030088 ,1731215239.5225 , 8080 ,http     ,http://64.147.212.78:8080      ,false ,  293.36762428284  ,      11869 ,       337 ,97.239062756022    ,64.147.212.78
true  ,1731214762.2178 ,elite       ,  990.6240888581   ,1731132473.7079 ,"AS201771 ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD"                                                                    ,NDC-CLOUD                                         ,Riyadh                       ,Asia              ,AS                    ,"Saudi Arabia"           ,SA                  ,                            ,false           ,"ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD"                   ,24.6869     ,46.7224     ,false          ,"ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD"             ,false         ,"Riyadh Region"                       ,success        ,Asia/Riyadh                    ,09848       ,         1731132475 ,1731215239.1683 ,   80 ,http     ,http://95.177.184.57:80        ,false ,  356.82034492493  ,       1046 ,       331 ,75.96223674655     ,95.177.184.57
true  ,1731214475.2206 ,elite       ,  153.51870462147  ,1730262919.8142 ,"AS24940 Hetzner Online GmbH"                                                                                                   ,HETZNER-AS                                        ,Nuremberg                    ,Europe            ,EU                    ,Germany                  ,DE                  ,                            ,true            ,"Hetzner Online GmbH"                                                 ,49.4527     ,11.0783     ,false          ,Hetzner                                                         ,false         ,Bavaria                               ,success        ,Europe/Berlin                  ,90403       ,         1730867738 ,1731215239.1608 ,   80 ,http     ,http://49.13.173.87:80         ,false ,   18.078565597534 ,      14359 ,       180 ,98.761950615586    ,49.13.173.87
true  ,1731214978.4463 ,elite       , 3234.6036652156   ,1717683778.5801 ,"AS36666 GloboTech Communications"                                                                                              ,GTCOMM                                            ,Montreal                     ,"North America"   ,NA                    ,Canada                   ,CA                  ,Ville-Marie                 ,true            ,"GloboTech Communications"                                            ,45.5049     ,-73.573     ,false          ,                                                                ,true          ,Quebec                                ,success        ,America/Toronto                ,H4X         ,         1731074399 ,1731215239.0536 ,19591 ,http     ,http://67.43.227.227:19591     ,false ,  877.37941741943  ,        526 ,     85934 , 0.60837381448068  ,67.43.227.227
